1.458306802251396448e+03 1.458350115746312440e+03
1.467098775357887462e+03 1.467144087937184395e+03
1.470607168446084870e+03 1.470690463628615589e+03
1.474202854885574425e+03 1.474252165633632785e+03
1.477254124012042666e+03 1.477320093796607125e+03
1.483530582606103735e+03 1.483601216920889783e+03
1.500215607209213431e+03 1.500298236030283988e+03
1.566902396704832427e+03 1.566971698296697923e+03
1.596794705450025958e+03 1.596840018029322664e+03
1.691246777909731918e+03 1.691332738538103513e+03
1.893096326917350780e+03 1.893178955738421337e+03
2.130312344066087007e+03 2.130386976549634710e+03
2.133498884568985432e+03 2.133581513390055989e+03
2.245678837317086618e+03 2.245730147149525692e+03
